atlas,0,29.0000,4.9402,-16.2160,
atlas,1,29.0000,4.9402,-16.2160,
atlas,2,38.0000,-9.3660,404.4400,
atlas,3,32.0000,0.8921,181.2500,
atlas,4,33.0000,2.2118,55.9880,
atlas,5,24.0000,-3.5166,270.1500,
atlas,6,37.0000,3.4619,72.8600,
atlas,7,31.0000,6.6310,-33.1280,
atlas,8,76.0000,5.1914,13.9920,
moddijet,0,29.00000,-8.13360,5.68480,
moddijet,1,29.00000,-8.13360,5.68480,
moddijet,2,38.00000,175.12000,-23.50300,
moddijet,3,32.00000,77.92200,-5.35060,
moddijet,4,33.00000,24.52500,0.22835,
moddijet,5,24.00000,114.63000,-12.59100,
moddijet,6,37.00000,33.79500,0.56981,
moddijet,7,31.00000,-18.06200,8.42050,
moddijet,8,76.00000,6.03060,4.71110,
dipho,0,29.000000,-1.241800,0.463530,
dipho,1,29.000000,-1.241800,0.463530,
dipho,2,38.000000,-51.415000,-6.917800,
dipho,3,32.000000,-27.708000,-3.036400,
dipho,4,33.000000,-10.822000,-0.977280,
dipho,5,24.000000,-35.325000,-4.363900,
dipho,6,37.000000,-16.297000,-1.517600,
dipho,7,31.000000,3.322300,1.325000,
dipho,8,76.000000,-100.0,-10.0,
power,0,29.000000,0.950230,488.160000,-2.298900
power,1,29.000000,0.950230,488.160000,-2.298900
power,2,38.000000,0.236220,185.090000,0.106880
power,3,32.000000,0.929750,2669.800000,-0.198960
power,4,33.000000,0.912130,820.260000,-0.568150
power,5,24.000000,0.899120,1979.400000,0.465200
power,6,37.000000,0.966930,3707.600000,-1.631100
power,7,31.000000,0.586830,28.394000,-0.318270
power,8,76.000000,0.943300,1282.500000,-1.716800
dijet,0,29.000000,-13.503000,4.854400,
dijet,1,29.000000,-13.503000,4.854400,
dijet,2,38.000000,376.420000,-8.881900,
dijet,3,32.000000,169.010000,1.097200,
dijet,4,33.000000,51.751000,2.286300,
dijet,5,24.000000,252.390000,-3.226200,
dijet,6,37.000000,66.707000,3.584900,
dijet,7,31.000000,-26.731000,6.418700,
dijet,8,76.000000,13.109000,5.203500,
